epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,379.034,1.95517,3.941,2.37565,1.58701,0.68095,0.7914,0.77336,0.42758,0.61149,0.71544,0.65038,0.24959,1.4482,3.02229,1.25418,1.37462,0.000208176,0.000208176,0.000208176
2,725.81,1.50962,3.11068,1.34762,1.34819,0.77739,0.8363,0.86717,0.52001,0.71888,0.7556,0.76383,0.32969,1.32683,2.75692,1.02453,1.28906,0.000416408,0.000416408,0.000416408
3,1099.51,1.41288,2.93492,1.21146,1.30082,0.80042,0.84981,0.88769,0.55447,0.7419,0.77665,0.79379,0.35817,1.23207,2.60355,0.9662,1.25123,0.000624233,0.000624233,0.000624233
4,1451.29,1.37083,2.83966,1.09924,1.27649,0.87337,0.88643,0.92707,0.58486,0.83513,0.82769,0.85241,0.39331,1.22573,2.49656,0.86153,1.22948,0.000623627,0.000623627,0.000623627
5,1794.69,1.33332,2.74559,1.0351,1.25456,0.88756,0.89791,0.94325,0.61265,0.84841,0.83564,0.87218,0.4213,1.18469,2.42809,0.8208,1.21976,0.00062256,0.00062256,0.00062256
6,2087.67,1.29841,2.67607,0.9763,1.23621,0.89159,0.89301,0.94163,0.61417,0.85476,0.83254,0.87305,0.42334,1.18243,2.411,0.81337,1.21521,0.000621191,0.000621191,0.000621191
7,2309.98,1.28767,2.65629,0.95506,1.23235,0.90088,0.90737,0.95038,0.63183,0.85799,0.85477,0.88525,0.43857,1.13876,2.34864,0.75899,1.19279,0.00061952,0.00061952,0.00061952
8,2538.67,1.26477,2.61355,0.92293,1.21899,0.89678,0.89397,0.94389,0.61843,0.85706,0.83817,0.88004,0.42842,1.16469,2.37637,0.77363,1.20724,0.000617549,0.000617549,0.000617549
9,2741.31,1.25203,2.59593,0.90025,1.2126,0.89193,0.9072,0.94965,0.63748,0.84794,0.84425,0.87959,0.43649,1.12047,2.32756,0.74658,1.18169,0.00061528,0.00061528,0.00061528
10,3055.38,1.23969,2.55616,0.87651,1.20874,0.90608,0.9123,0.95025,0.63194,0.86167,0.8536,0.87627,0.44189,1.11741,2.30197,0.73472,1.18559,0.000612716,0.000612716,0.000612716
11,3382.39,1.22149,2.52421,0.85095,1.19367,0.92208,0.92158,0.96054,0.64959,0.88612,0.87017,0.90447,0.46014,1.10325,2.25829,0.69948,1.18062,0.000609858,0.000609858,0.000609858
12,3716.3,1.2188,2.5068,0.83038,1.19623,0.92315,0.92218,0.96286,0.65897,0.88445,0.8712,0.9086,0.46738,1.07301,2.22022,0.68417,1.16784,0.00060671,0.00060671,0.00060671
13,4042.21,1.2051,2.48896,0.82531,1.18765,0.92577,0.92644,0.96294,0.65538,0.89454,0.8801,0.90955,0.46979,1.09444,2.21251,0.67851,1.17386,0.000603275,0.000603275,0.000603275
14,4287.61,1.19788,2.46439,0.81484,1.18713,0.92657,0.92229,0.96024,0.65584,0.88975,0.87117,0.90268,0.46159,1.07432,2.23247,0.68905,1.16257,0.000599555,0.000599555,0.000599555
15,4533.98,1.18145,2.43144,0.80181,1.17598,0.92864,0.92366,0.96455,0.66589,0.89121,0.87206,0.91058,0.46868,1.06755,2.19684,0.66584,1.1574,0.000595556,0.000595556,0.000595556
16,4780.04,1.1866,2.43202,0.79202,1.17827,0.91237,0.91984,0.95755,0.66034,0.87525,0.87057,0.90465,0.45961,1.06762,2.21376,0.67917,1.15387,0.00059128,0.00059128,0.00059128
17,5025.47,1.17274,2.40549,0.7782,1.16929,0.92234,0.92556,0.96541,0.67367,0.88348,0.87028,0.91046,0.47461,1.05203,2.19237,0.65005,1.14354,0.000586732,0.000586732,0.000586732
18,5271.37,1.1727,2.41644,0.77909,1.17165,0.92358,0.92663,0.96642,0.67794,0.87954,0.86948,0.90769,0.47893,1.0417,2.16162,0.65172,1.14457,0.000581917,0.000581917,0.000581917
19,5516.06,1.16504,2.39604,0.76435,1.16842,0.93181,0.93078,0.9685,0.68058,0.89711,0.88086,0.91946,0.48356,1.03151,2.15413,0.63695,1.13347,0.000576839,0.000576839,0.000576839
20,5761.87,1.16215,2.40949,0.76646,1.1691,0.93896,0.92922,0.96938,0.68373,0.9036,0.88178,0.92102,0.48813,1.03143,2.14087,0.62344,1.13551,0.000571503,0.000571503,0.000571503
21,6006.65,1.15067,2.36773,0.74856,1.15843,0.92708,0.92451,0.96528,0.68512,0.88633,0.87292,0.91478,0.49035,1.0199,2.13078,0.64331,1.12867,0.000565915,0.000565915,0.000565915
22,6251.56,1.14807,2.36586,0.74512,1.15827,0.93772,0.93417,0.97079,0.68587,0.90118,0.88547,0.92415,0.49253,1.02891,2.09712,0.62275,1.12991,0.000560079,0.000560079,0.000560079
23,6497.61,1.14397,2.35383,0.73809,1.15088,0.93813,0.93051,0.97009,0.68539,0.90408,0.88788,0.92209,0.49611,1.03037,2.09949,0.61819,1.13465,0.000554003,0.000554003,0.000554003
24,6745.67,1.13833,2.341,0.73418,1.1506,0.92825,0.92589,0.96572,0.68671,0.88844,0.87408,0.91515,0.49397,1.01687,2.11515,0.61607,1.11631,0.000547691,0.000547691,0.000547691
25,6993.22,1.13484,2.34876,0.73311,1.14655,0.93961,0.92976,0.97089,0.68907,0.90219,0.88234,0.92382,0.50136,1.02285,2.09187,0.60466,1.12574,0.00054115,0.00054115,0.00054115
26,7240.26,1.12522,2.33251,0.71823,1.14553,0.93348,0.92802,0.96969,0.69431,0.89529,0.87652,0.92058,0.49961,1.0115,2.08834,0.6129,1.11892,0.000534386,0.000534386,0.000534386
27,7486.07,1.12663,2.31621,0.7129,1.14306,0.94086,0.93483,0.97281,0.69949,0.90558,0.88244,0.92518,0.50259,1.00632,2.08012,0.59223,1.11475,0.000527407,0.000527407,0.000527407
