epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,707.721,2.01122,4.11554,1.86418,1.94575,0.85811,0.82919,0.91884,0.59712,0.8198,0.77935,0.85286,0.39392,1.23706,2.76937,1.0835,1.4107,0.00020802,0.00020802,0.00020802
2,1495.41,1.80824,3.79342,1.80727,1.72469,0.88224,0.82964,0.92535,0.60951,0.83496,0.76968,0.85024,0.391,1.20793,2.78279,1.10654,1.39114,0.000402613,0.000402613,0.000402613
3,1796.91,1.76585,3.73008,1.75219,1.6883,0.90709,0.86049,0.92484,0.59945,0.87279,0.80651,0.85999,0.38638,1.20329,2.72206,1.02178,1.38418,0.000583457,0.000583457,0.000583457
4,2097.24,1.7566,3.69618,1.71895,1.67932,0.92303,0.89063,0.95013,0.62467,0.86959,0.82226,0.87783,0.38011,1.17824,2.62987,0.90845,1.33723,0.000563125,0.000563125,0.000563125
5,2398.35,1.74282,3.66619,1.68713,1.66097,0.88121,0.87162,0.92008,0.58215,0.81727,0.78612,0.81888,0.3485,1.21484,2.70295,0.93773,1.34078,0.0005425,0.0005425,0.0005425
6,2698.39,1.72363,3.63001,1.64583,1.64477,0.90386,0.89202,0.93595,0.61133,0.86154,0.82859,0.86825,0.4149,1.16934,2.60042,0.90631,1.34142,0.000521875,0.000521875,0.000521875
7,2998.32,1.70548,3.59968,1.62178,1.62918,0.90252,0.89123,0.9367,0.61801,0.84882,0.82469,0.85928,0.42493,1.1579,2.51513,0.86695,1.33122,0.00050125,0.00050125,0.00050125
8,3298.93,1.69534,3.57279,1.60509,1.62435,0.90625,0.90002,0.94277,0.6301,0.86227,0.84289,0.87727,0.44482,1.13025,2.39943,0.80352,1.30951,0.000480625,0.000480625,0.000480625
9,3597.58,1.6828,3.53343,1.55656,1.60703,0.91918,0.90458,0.95205,0.65175,0.8801,0.84621,0.891,0.45502,1.0926,2.37826,0.75672,1.28402,0.00046,0.00046,0.00046
10,3897.49,1.68498,3.54391,1.55336,1.60367,0.91016,0.90998,0.94946,0.64166,0.8648,0.85376,0.88478,0.4495,1.11459,2.35783,0.73772,1.28841,0.000439375,0.000439375,0.000439375
